Price,Rooms,Type,Status,Parking Spaces,Land Size,Building Size,Architecture Style,County,Provider
"USD $6,000 per month","3 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Apartment,Active,2,"1,161.04 m2",162.58 m2,Modern,Los Angeles,
"USD $1,795 per month","3 bedroom(s), 1 bathroom(s)",House,Active,,,93.65 m2,Other,Louisa,Paragon Real Estate Group
"USD $5,250 per month","3 bedroom(s), 1 bathroom(s)",House,Active,,"20,558.05 m2",111.48 m2,Cottage,Westchester,Ginnel Real Estate
"USD $1,100 per month","2 bedroom(s), 1 bathroom(s)",House,Active,,566.56 m2,117.24 m2,Other,Nueces,Re/Max Elite
USD $999 per month,"2 bedroom(s), 1 bathroom(s)",House,Active,,,,Other,,Freeland
"USD $2,500 per month","2 bedroom(s), 1 bathroom(s)",Townhouse,Active,,283.28 m2,74.32 m2,Colonial,Westchester,K. Fortuna Realty
"USD $2,800 per month","3 bedroom(s), 3 bathroom(s)",Townhouse,Active,,80.94 m2,149.20 m2,Other,Hillsborough,"Charles Rutenberg Realty, Inc."
"USD $2,820 per month","4 bedroom(s), 3 bathroom(s)",Other,Active,2,,,Other,Berkeley,"John Liberatos Real Estate Co., LLC"
USD $480 per month,"3 bedroom(s), 2 bathroom(s)",House,Active,,,91.04 m2,Other,,"Broadview Communities 301 Estates, LLC"
"USD $1,350 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,125.60 m2,Other,,Oak Bend
"USD $1,895 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,408.73 m2,117.62 m2,Other,Kaufman,Main Street Renewal LLC
"USD $3,200 per month","6 bedroom(s), 4 bathroom(s)",House,Active,,,123.19 m2,Other,Contra Costa,Exp Realty of California Inc
,"1 bedroom(s), 1 bathroom(s)",Other,Active,2,809.37 m2,37.16 m2,Other,,Coastal Realty Group
"USD $2,900 per month","3 bedroom(s), 2 bathroom(s)",House,Active,1,,167.23 m2,Other,Cook,Century 21 S.G.R. Inc
"USD $4,195 per month","3 bedroom(s), 2 bathroom(s)",Townhouse,Active,2,"1,295.00 m2",,Other,Essex,"eXp Realty, LLC"
"USD $2,050 per month","2 bedroom(s), 1 bathroom(s)",Other,Active,2,,83.61 m2,Other,DuPage,Compass Real Estate
"USD $2,250 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,485.62 m2,192.03 m2,New Traditional,Tarrant,Buy Wise Real Estate
"USD $2,250 per month","4 bedroom(s), 3 bathroom(s)",House,Active,2,764.86 m2,190.36 m2,Other,Williamson,Better Life Realty
,,Other,Active,,526.09 m2,85.38 m2,Other,Monmouth,Adele Demoro
"USD $2,300 per month","3 bedroom(s), 2 bathroom(s)",House,Active,2,"1,214.06 m2",176.52 m2,Ranch,Madison,
"USD $2,100 per month","3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Apartment,Active,,80.94 m2,170.20 m2,Other,Franklin,"Key Realty, Ltd."
"USD $8,800 per month","5 bedroom(s), 3 bathroom(s)",House,Active,,"1,416.40 m2",261.89 m2,Colonial,Nassau,E REALTY INTERNATIONAL CORP.
"USD $5,700 per month",,Other,Active,,"1,052.18 m2",,Other,Suffolk,Eric G. Ramsay Jr. Associate LLC
"USD $2,399 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,485.62 m2,,Other,Essex,"eXp Realty, LLC"
"USD $2,300 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,607.03 m2,155.33 m2,Other,Volusia,A M Home Realty
USD $740 per month,"1 bedroom(s), 1 bathroom(s)",Townhouse,Active,,,,Other,Racine,"CLS Realty, Inc. D/B/A Berkshire Hathaway HomeServices - Metro Realty"
"USD $2,035 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,445.15 m2,72.00 m2,Other,PHILADELPHIA,Maxwell Realty Company Inc
"USD $2,400 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,,647.50 m2,111.58 m2,Other,Pinellas,Gulf Coast Preferred Realty
"USD $1,614 per month","2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Apartment,Active,,,65.03 m2,Other,Merrimack,"Red Oak Apartment Homes, Inc."
"USD $3,500 per month","6 bedroom(s), 3 bathroom(s)",House,Active,9,728.43 m2,281.50 m2,Colonial,Washtenaw,Prime Property Management and Real Estate Services
"USD $2,100 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,445.15 m2,121.80 m2,Other,Hillsborough,FUTURE HOME REALTY INC
USD $17 per month,,Other,Active,,"4,289.67 m2","2,064.68 m2",Other,Pinellas,FIRST COMMERCIAL GROUP
"USD $2,200 per month","4 bedroom(s), 2 bathroom(s)",House,Active,,930.78 m2,207.73 m2,Other,Brevard,85 & Sunny Property Management
"USD $1,500 per month","1 bedroom(s), 1 bathroom(s)",Townhouse,Active,,364.22 m2,,Other,Essex,NJ Metro Group LLC
"USD $1,750 per month","1 bedroom(s), 1 bathroom(s)",House,Active,2,242.81 m2,,Other,Morris,"eXp Realty, LLC"
"USD $2,500 per month","3 bedroom(s), 3 bathroom(s)",Apartment,Active,2,121.41 m2,139.73 m2,Colonial,Monroe,Duggan Realty
"USD $2,100 per month","2 bedroom(s), 2 bathroom(s)",House,Active,,121.41 m2,120.77 m2,Other,,"NextHome, Inc"
"USD $3,195 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Other,Active,2,,102.19 m2,Other,Los Angeles,CORE Real Estate Group
"USD $2,700 per month","5 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,,"4,896.70 m2",229.19 m2,Other,Hillsborough,KELLER WILLIAMS REALTY S.SHORE
"USD $1,749 per month","1 bedroom(s), 1 bathroom(s)",Other,Active,,,,Other,,Coldwell Banker Real Estate Services
"USD $2,850 per month",1 bathroom(s),Other,Active,1,511.12 m2,41.81 m2,Craftsman,Los Angeles,KELLER WILLIAMS BEVERLY HILLS REALTY
"USD $2,468 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s), 1 basement(s)",Townhouse,Active,2,,206.24 m2,Other,Merrimack,
"USD $1,750 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Apartment,Active,1,"1,375.93 m2",,Other,Morris,REMAX First Choice Realtors II
"USD $1,400 per month",1 bathroom(s),Apartment,Active,,,24.34 m2,Other,Volusia,Pixel Realty
"USD $1,641 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Apartment,Active,,,76.18 m2,Other,Hillsborough,"Red Oak Apartment Homes, Inc."
"USD $6,400 per month","2 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Apartment,Active,2,,135.82 m2,Contemporary,Los Angeles,Compass
"USD $3,995 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Other,Active,2,"3,108.80 m2",116.13 m2,Modern,Los Angeles,
"USD $2,400 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Other,Active,,"1,092.65 m2",262.82 m2,Other,Hernando,RE/MAX Marketing Specialists
"USD $1,399 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,,Other,,West Branch Village
"USD $2,500 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,119.29 m2,Other,Belknap,W Real Estate LLC
USD $895 per month,"2 bedroom(s), 1 bathroom(s)",Apartment,Active,1,890.31 m2,285.40 m2,Other,Nueces,Piper and Associates Real Estate
USD $795 per month,"2 bedroom(s), 1 bathroom(s)",Apartment,Active,,"1,537.81 m2",74.32 m2,Ranch,Eaton,Berkshire Hathaway HomeServices MI
"USD $1,400 per month",1 bathroom(s),Apartment,Active,,,37.16 m2,Other,Hillsborough,"Red Oak Apartment Homes, Inc."
"USD $6,795 per month","3 bedroom(s), 2 bathroom(s)",Apartment,Pending,,,165.00 m2,Other,Oakland,RE Krausmann & Associates LLC
,,Other,Active,,"4,856.23 m2",,Other,Rockingham,Keller Williams Realty Success
"USD $2,650 per month","4 bedroom(s), 3 bathroom(s)",House,Active,,566.56 m2,257.53 m2,Other,,"NextHome, Inc"
"USD $1,995 per month","3 bedroom(s), 2 bathroom(s)",House,Active,2,380.40 m2,122.72 m2,Other,Travis,alltex Residential PLLC
"USD $3,600 per month","6 bedroom(s), 2 bathroom(s)",Townhouse,Active,,526.09 m2,288.28 m2,Other,Franklin,"Consultants Realty, LLC"
"USD $8,500 per month","5 bedroom(s), 4 bathroom(s)",House,Active,4,"2,270.69 m2",356.75 m2,Other,Travis,"Carol Dochen Realtors, Inc."
"USD $1,550 per month","1 bedroom(s), 1 bathroom(s)",House,Active,,,69.68 m2,Bungalow,Ulster,"Curasi Realty, Inc."
"USD $2,000 per month","1 bedroom(s), 1 bathroom(s)",House,Active,,364.22 m2,83.61 m2,Other,Nassau,Signature Premier Properties
"USD $2,850 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s), 1 basement(s)",House,Active,1,,162.02 m2,Other,Hillsborough,
"USD $1,800 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,"6,313.10 m2",109.63 m2,Other,Pasco,BHHS FLORIDA PROPERTIES GROUP
"USD $1,850 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,85.01 m2,Other,Pinellas,FUTURE HOME REALTY INC
"USD $1,995 per month","3 bedroom(s), 2 bathroom(s)",House,Pending,,930.78 m2,96.15 m2,Other,Pinellas,Imperial Estates Realty Inc
"USD $1,595 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Apartment,Active,,"4,046.86 m2",61.97 m2,Other,Hillsborough,KELLER WILLIAMS TAMPA PROP.
"USD $1,500 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,120.31 m2,Other,Canadian,McGraw REALTORS
"USD $2,850 per month","4 bedroom(s), 3 bathroom(s)",Townhouse,Active,,323.75 m2,164.35 m2,Other,Seminole,"Dalton Wade, Inc."
"USD $2,200 per month","3 bedroom(s), 1 bathroom(s)",House,Active,,,74.69 m2,Other,Palm Beach,BOYNTON BEACH REALTY
USD $950 per month,"1 bedroom(s), 1 bathroom(s)",House,Active,2,,70.51 m2,Other,Fulton,KW Platform
"USD $3,400 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,"37,919,080.00 m2",99.22 m2,Other,Hillsborough,PINEYWOODS REALTY LLC
"USD $2,350 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,202.34 m2,,Other,Queens,Century Homes Realty Group LLC
"USD $2,150 per month","3 bedroom(s), 3 bathroom(s)",Other,Active,,,184.78 m2,Other,Houston,"Empire Real Estate, Inc."
"USD $5,225 per month","2 bedroom(s), 2 bathroom(s)",Other,Active,,,,Other,,JCITY REALTY LLC
"USD $2,200 per month","2 bedroom(s), 1 bathroom(s)",Other,Active,,,,Other,,REMAX Signature Homes
"USD $2,600 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,"23,836.00 m2",141.21 m2,Other,Pinellas,"Charles Rutenberg Realty, Inc."
"USD $7,795 per month","3 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Other,Active,2,251.31 m2,204.39 m2,Contemporary,Los Angeles,
"USD $3,000 per month","3 bedroom(s), 3 bathroom(s)",House,Active,,485.62 m2,148.64 m2,Colonial,Washtenaw,"Ann Arbor Market Center, Inc."
"USD $3,000 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,84.82 m2,Other,Westchester,Coldwell Banker Residential Brokerage
"USD $1,975 per month","4 bedroom(s), 3 bathroom(s)",House,Active,,,164.53 m2,Other,El Paso,Northern Pass Properties
"USD $1,400 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Apartment,Active,,"4,734.83 m2",63.36 m2,Other,Orange,Keller Williams Hudson Valley Realty
"USD $10,000 per month","4 bedroom(s), 4 bathroom(s)",House,Active,2,777.40 m2,235.79 m2,Other,Travis,DEN Property Group LLC
"USD $1,800 per month","2 bedroom(s), 1 bathroom(s)",House,Active,2,647.50 m2,84.73 m2,Other,Williamson,Pure Realty
"USD $2,350 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,2,647.50 m2,249.17 m2,Other,Travis,"eXp Realty, LLC"
"USD $3,500 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Other,Active,2,,73.39 m2,Bungalow,Los Angeles,Keller Williams Santa Monica
"USD $5,200 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Other,Active,2,250.50 m2,153.29 m2,Contemporary,Los Angeles,
"USD $8,000 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,"51,670,308.00 m2",139.35 m2,Other,Pinellas,CAPSTONE REALTY & ASSOCIATES
"USD $1,950 per month",1 bathroom(s),Other,Active,2,"1,278.81 m2",,New Traditional,Los Angeles,Douglas Elliman of California
"USD $2,600 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,,,Other,Brooklyn,Keller Williams Realty Liberty
"USD $7,500 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,,,,Split Level,Nassau,Signature Premier Properties
"USD $2,100 per month","4 bedroom(s), 2 bathroom(s)",House,Active,2,,141.12 m2,Other,Midland,Permian Basin Real Estate
"USD $3,000 per month","5 bedroom(s), 4 bathroom(s), 1 livingroom(s), 1 basement(s)",House,Active,,971.25 m2,339.37 m2,Other,Steuben County,
"USD $6,745 per month","3 bedroom(s), 2 bathroom(s)",Other,Active,,,,Other,,JCITY REALTY LLC
"USD $1,800 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Townhouse,Active,,,41.81 m2,Other,Washoe,"Keller Williams Group One, Inc."
"USD $3,800 per month","4 bedroom(s), 3 bathroom(s)",House,Active,,566.56 m2,211.82 m2,Ranch,Rockland,Keller Williams Hudson Valley Realty
"USD $2,500 per month","1 bedroom(s), 2 bathroom(s)",Townhouse,Active,,202.34 m2,,Other,Nassau,Laffey Real Estate
"USD $1,900 per month","2 bedroom(s), 2 bathroom(s)",House,Active,3,"1,011.72 m2",,Other,Gillespie,Nixon Real Estate
"USD $1,550 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Apartment,Active,,404.69 m2,63.82 m2,Colonial,Orange,Keller Williams Hudson Valley Realty
"USD $4,350 per month","3 bedroom(s), 2 bathroom(s)",House,Active,2,,,Other,Los Angeles,Compass
"USD $60,000 per month","5 bedroom(s), 7 bathroom(s), 1 livingroom(s)",Other,Active,2,"5,072.74 m2","1,122.92 m2",Contemporary,Los Angeles,The Agency
"USD $2,700 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,2,"1,052.18 m2",117.99 m2,Other,Hunterdon,Keller Williams Real Estate
,,Other,Active,,"1,456.87 m2",,Other,Belknap,keller williams coastal realty
"USD $2,450 per month","4 bedroom(s), 3 bathroom(s)",House,Active,,"1,092.65 m2",238.67 m2,New Traditional,,"NextHome, Inc"
"USD $1,095 per month","2 bedroom(s), 1 bathroom(s)",House,Active,,,74.32 m2,Other,Lampasas,Dave Hudson
"USD $5,400 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,364.22 m2,148.64 m2,Cottage,Westchester,Compass
"USD $1,400 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,,"6,070.29 m2",128.21 m2,Other,Allen County,"Century 21 Bradley Realty,Inc."
"USD $3,300 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,108.23 m2,Other,Contra Costa,RE/MAX Accord
"USD $3,000 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Other,Active,1,689.58 m2,,New Traditional,Los Angeles,
"USD $8,500 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Other,Active,2,694.04 m2,165.83 m2,New Traditional,Los Angeles,Pardee Properties
"USD $2,600 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Other,Active,1,556.44 m2,60.39 m2,Other,Los Angeles,eXp Realty
"USD $2,850 per month","3 bedroom(s), 2 bathroom(s)",House,Active,2,,202.25 m2,Other,Wichita,D-D Team LLL d/b/a RE/MAX Elite Group
"USD $1,700 per month","2 bedroom(s), 1 bathroom(s)",House,Active,,"1,578.28 m2",329.53 m2,Other,,"NextHome, Inc"
"USD $2,225 per month","5 bedroom(s), 2 bathroom(s)",House,Active,3,971.25 m2,128.76 m2,New Traditional,Jackson,"ERA REARDON REALTY, L.L.C."
"USD $10,995 per month","2 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Apartment,Active,2,,,Modern,Los Angeles,The Agency
"USD $1,895 per month","3 bedroom(s), 2 bathroom(s)",House,Active,2,566.56 m2,133.87 m2,Other,Clark,"Vegas Dream Homes, Inc."
"USD $1,800 per month","2 bedroom(s), 1 bathroom(s)",House,Active,2,,92.90 m2,Other,Travis,REKonnection LLC
"USD $2,995 per month","3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,2,748.67 m2,180.42 m2,Other,Travis,
"USD $2,000 per month","3 bedroom(s), 2 bathroom(s)",House,Active,4,558.47 m2,170.94 m2,Other,Hays,"Compass RE Texas, LLC"
"USD $2,295 per month","3 bedroom(s), 3 bathroom(s)",Townhouse,Active,,,167.23 m2,Other,Dakota,"Counselor Realty, Inc"
"USD $4,300 per month","3 bedroom(s), 3 bathroom(s)",House,Active,,,,Other,,Carnegie Real Estate LLC
"USD $18,000 per month","2 bedroom(s), 2 bathroom(s), 1 basement(s)",House,Active,,"54,632.61 m2",172.80 m2,Other,Windsor,Diamond Realty
"USD $2,150 per month","3 bedroom(s), 3 bathroom(s)",Townhouse,Active,1,,148.09 m2,Other,Williamson,Douglas Elliman Real Estate
"USD $1,750 per month","3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Townhouse,Active,1,202.34 m2,121.80 m2,Other,Clark,"Avalon Realty & Oaktree Management, Inc"
"USD $3,400 per month","3 bedroom(s), 3 bathroom(s)",Other,Active,3,566.56 m2,255.02 m2,Other,Los Angeles,Hartwig Property Management
,"2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,74.32 m2,Contemporary,,Compass
"USD $4,500 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s), 1 basement(s)",House,Active,4,"1,335.46 m2",,Other,Middlesex,Keller Williams Realty Premier Properties of Westfield
"USD $3,695 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Townhouse,Active,,"9,145.90 m2",,Other,Nassau,Lori & Associates LI Realty Inc.
,,Other,Active,,,,Other,Rockingham,"The Aland Realty Group, LLC"
"USD $1,600 per month","1 bedroom(s), 1 bathroom(s), 1 basement(s)",House,Active,,"20,234.30 m2",58.06 m2,Cottage,Hartford,The Greene Realty Group
"USD $1,890 per month","4 bedroom(s), 3 bathroom(s)",House,Active,2,242.81 m2,170.66 m2,Other,Clark,Epic Realty Las Vegas
"USD $2,375 per month","3 bedroom(s), 1 bathroom(s)",House,Active,2,635.36 m2,85.66 m2,Other,Travis,"Compass RE Texas, LLC"
"USD $1,950 per month","3 bedroom(s), 2 bathroom(s)",House,Active,2,"4,046.86 m2",189.52 m2,Other,Hays,StoneHaven Realty
"USD $2,400 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,687.97 m2,124.40 m2,Ranch,Brevard,"Star Real Estate, Inc."
"USD $3,795 per month","3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,3,566.56 m2,231.42 m2,Other,Clark,Vegas One Realty
"USD $2,145 per month","4 bedroom(s), 2 bathroom(s)",House,Active,2,557.25 m2,165.27 m2,Other,Hays,Austin 360 HOme
"USD $1,600 per month","3 bedroom(s), 2 bathroom(s)",House,Active,2,109.27 m2,111.48 m2,Other,Travis,"eXp Realty, LLC"
"USD $3,750 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,1,,127.56 m2,Other,Union,"eXp Realty, LLC"
"USD $3,200 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Townhouse,Active,2,566.56 m2,229.47 m2,Other,Clark,VIP
USD $0 per month,,Other,Active,,"1,011.72 m2",167.23 m2,Other,Kent,NOMA Real Estate Services
"USD $3,900 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s), 1 basement(s)",House,Active,6,"4,046.86 m2",146.32 m2,Other,Essex,RE/MAX Professionals I
"USD $3,950 per month","4 bedroom(s), 4 bathroom(s)",House,Active,2,669.76 m2,252.32 m2,Other,Travis,"Compass RE Texas, LLC"
"USD $3,100 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,,687.97 m2,204.39 m2,Other,Brevard,Century 21 Spectrum
"USD $1,950 per month","2 bedroom(s), 1 bathroom(s)",House,Active,2,437.06 m2,75.07 m2,Other,Travis,"eXp Realty, LLC"
USD $950 per month,"1 bathroom(s), 1 basement(s)",Other,Active,,849.84 m2,128.21 m2,Other,Gratiot,"II GEMINI, LLC"
"USD $2,000 per month","3 bedroom(s), 2 bathroom(s)",House,Active,4,521.24 m2,131.18 m2,Other,Travis,"Realty Texas, LLC"
"USD $4,600 per month","3 bedroom(s), 3 bathroom(s)",Apartment,Active,1,,267.65 m2,Contemporary,Fulton,Engel & Völkers Atlanta
"USD $1,925 per month","3 bedroom(s), 3 bathroom(s)",House,Active,,404.69 m2,186.08 m2,Other,,"NextHome, Inc"
"USD $3,950 per month","4 bedroom(s), 4 bathroom(s)",Apartment,Active,2023,,247.12 m2,Other,Washtenaw,Charles Reinhart Company
"USD $3,200 per month",,Other,Active,,"2,751.86 m2",,Other,Gillespie,"The Hills Property Management Group, LLC"
"USD $2,300 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,404.69 m2,130.99 m2,Other,Nueces,"CapStone Realty, PLLC"
"USD $3,500 per month",,Other,Active,,"8,943.56 m2",315.87 m2,Other,Macomb,Tanana Realty Group LLC
"USD $1,960 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,2,485.62 m2,177.44 m2,Other,Clark,Century 21 Americana
"USD $1,395 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,,83.61 m2,Other,Clark,The Home Shop
"USD $1,249 per month","2 bedroom(s), 2 bathroom(s)",House,Active,,,,Other,,Holiday Estates
"USD $2,500 per month","2 bedroom(s), 3 bathroom(s)",Apartment,Active,,,190.27 m2,Ranch,Wayne,Prime Property Management and Real Estate Services
"USD $1,750 per month","3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,2,323.75 m2,144.65 m2,Other,Clark,Leading Vegas Realty
"USD $2,950 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,,Other,Suffolk,Signature Premier Properties
"USD $1,800 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,890.31 m2,116.13 m2,Other,Moffat,Intermountain Real Estate
"USD $3,865 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Pending,1,121.41 m2,116.13 m2,Other,Oakland,RE Krausmann & Associates LLC
USD $16 per month,,Other,Active,,,334.45 m2,Other,Gallatin,Gene Cook Real Estate
"USD $3,750 per month","1 bedroom(s), 1 bathroom(s)",Other,Active,,,,Other,,Terrie O'Connor Realtors
"USD $2,100 per month","4 bedroom(s), 4 bathroom(s)",House,Active,,,199.46 m2,Other,El Paso,"ClearView Realty, LLC"
USD $900 per month,,Other,Active,,,,Other,Potter,Wellborn Real Estate
"USD $2,300 per month","3 bedroom(s), 2 bathroom(s)",House,Active,2,"11,735.89 m2",249.26 m2,Other,Nye,Provenza Neth Properties
"USD $2,500 per month","3 bedroom(s), 3 bathroom(s)",House,Active,2,404.69 m2,170.76 m2,Other,Clark,The Next Generation Real Estate
"USD $3,350 per month","4 bedroom(s), 3 bathroom(s)",House,Active,3,566.56 m2,214.79 m2,Other,Clark,Leading Vegas Realty
"USD $3,175 per month","4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,2,971.25 m2,140.19 m2,Other,Clark,BC Real Estate
"USD $1,700 per month","3 bedroom(s), 3 bathroom(s)",House,Active,2,202.34 m2,137.50 m2,Other,Clark,"THE Brokerage, A Real Estate Firm"
"USD $1,850 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Other,Active,,404.69 m2,83.61 m2,Other,Jefferson,Kentucky Select Properties
"USD $1,650 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,115.20 m2,Other,Fayette,LRC Lexington's Real Estate Co
"USD $2,500 per month","3 bedroom(s), 2 bathroom(s)",House,Active,2,566.56 m2,135.27 m2,Other,Rockingham,Jenn Madden Realtors
"USD $1,150 per month","2 bedroom(s), 1 bathroom(s)",Other,Active,1,,71.35 m2,Other,Randall,"RockOne Realty, LLC"
"USD $2,100 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,2,445.15 m2,219.99 m2,Other,Clark,New Castle Realty
"USD $2,695 per month","3 bedroom(s), 3 bathroom(s)",House,Active,4,509.90 m2,228.91 m2,Other,Travis,KWATX Broker LLC
"USD $1,695 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,126.91 m2,Other,El Paso,KB Your Real Estate Experience
"USD $1,400 per month","3 bedroom(s), 1 bathroom(s)",House,Active,,,112.04 m2,Other,El Paso,"eXp Realty, LLC"
"USD $2,345 per month","4 bedroom(s), 3 bathroom(s)",House,Active,,,216.19 m2,Other,El Paso,One Realty
"USD $1,695 per month","4 bedroom(s), 3 bathroom(s)",House,Active,,,182.37 m2,Other,El Paso,KB Your Real Estate Experience
"USD $1,250 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Apartment,Active,,,55.09 m2,Other,Clark,"Brady Realty Group, LLC"
"USD $2,950 per month","2 bedroom(s), 1 bathroom(s)",House,Active,,364.22 m2,,Other,Nassau,Coldwell Banker American Homes
"USD $65,000 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,"2,711.40 m2",128.67 m2,Cape Cod,Suffolk,Corcoran
"USD $2,750 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,,,125.42 m2,Ranch,New Haven,Calcagni Real Estate
"USD $1,900 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,1,825.56 m2,100.99 m2,Other,Travis,1836 Realty & Property Managment
"USD $5,095 per month","2 bedroom(s), 2 bathroom(s)",Other,Active,,,,Other,,JCITY REALTY LLC
"USD $9,000 per month","4 bedroom(s), 3 bathroom(s), 1 basement(s)",House,Active,,"1,699.68 m2",268.49 m2,Colonial,Fairfield,The Riverside Realty Group
"USD $2,135 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,147.99 m2,Other,El Paso,KB Your Real Estate Experience
"USD $2,850 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,445.15 m2,,Other,Nassau,Verdeschi Realty
"USD $10,000 per month","2 bedroom(s), 2 bathroom(s)",House,Active,,"8,255.59 m2",164.07 m2,Other,Pitkin,Portfolio Aspen Properties
"USD $1,900 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,2,,116.13 m2,Other,Hillsborough,RE/MAX Innovative Properties
"USD $1,616 per month","1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Apartment,Active,2,,61.69 m2,Other,Hillsborough,"Red Oak Apartment Homes, Inc."
"USD $2,750 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,,,125.42 m2,Ranch,New Haven,Calcagni Real Estate
"USD $1,400 per month","1 bedroom(s), 1 bathroom(s)",Other,Active,,,,Other,Berkeley,AgentOwned Realty
"USD $1,810 per month","2 bedroom(s), 2 bathroom(s)",House,Active,2,785.09 m2,113.71 m2,Other,Miami,Irongate Inc.
"USD $1,950 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,2,214.48 m2,86.21 m2,Other,Travis,KWATX Broker LLC
